year,purpose,model,type,district,size,value
2016,non-purpose,van,normal,Incheon,small,37.6
2016,non-purpose,van,normal,Incheon,mid,39.9
2016,non-purpose,van,normal,Incheon,large,47.4
2016,non-purpose,van,normal,Gwangju,small,38.4
2016,non-purpose,van,normal,Gwangju,mid,39.9
2016,non-purpose,van,normal,Gwangju,large,54.9
2016,non-purpose,van,normal,Daejeon,small,37
2016,non-purpose,van,normal,Daejeon,mid,41.1
2016,non-purpose,van,normal,Daejeon,large,41.6
2016,non-purpose,van,normal,Ulsan,small,35.5
2016,non-purpose,van,normal,Ulsan,mid,37.9
2016,non-purpose,van,normal,Ulsan,large,52
2016,non-purpose,lorry,normal,Seoul,small,44.5
2016,non-purpose,lorry,normal,Seoul,mid,42.9
2016,non-purpose,lorry,normal,Seoul,large,59.9
2016,non-purpose,lorry,normal,Busan,small,43.7
2016,non-purpose,lorry,normal,Busan,mid,41.7
2016,non-purpose,lorry,normal,Busan,large,55.1
2016,non-purpose,lorry,normal,Daegu,small,45
2016,non-purpose,lorry,normal,Daegu,mid,46.9
2016,non-purpose,lorry,normal,Daegu,large,62
2016,non-purpose,lorry,normal,Incheon,small,43.3
2016,non-purpose,lorry,normal,Incheon,mid,41.9
2016,non-purpose,lorry,normal,Incheon,large,59.1
2016,non-purpose,lorry,normal,Gwangju,small,44.8
2016,non-purpose,lorry,normal,Gwangju,mid,40.3
2016,non-purpose,lorry,normal,Gwangju,large,48.9
2016,non-purpose,lorry,normal,Daejeon,small,44.8
2016,non-purpose,lorry,normal,Daejeon,mid,40.4
2016,non-purpose,lorry,normal,Daejeon,large,54.5
2016,non-purpose,lorry,normal,Ulsan,small,37.4
2016,non-purpose,lorry,normal,Ulsan,mid,32.6
2016,non-purpose,lorry,normal,Ulsan,large,52.6
2016,purpose,saloon,normal,Seoul,light,60.7
2016,purpose,saloon,normal,Seoul,small,58.1
2016,purpose,saloon,normal,Seoul,mid,96.9
2016,purpose,saloon,normal,Seoul,large,91
